Generated Description,Reviewed Description,Code,Type,Split
,"Display three overlaid function graphs on screen:  
- A red curve representing a composite cosine function.  
- A blue curve representing a composite sine function, identical in form to the cosine one.  
- A green version of the same sine function, restricted to a smaller x-range and shifted upward.  
All three graphs appear together without animation.","from manim import *

class ExampleFunctionGraph(Scene):
    def construct(self):
        cos_func = FunctionGraph(
            lambda t: np.cos(t) + 0.5 * np.cos(7 * t) + (1 / 7) * np.cos(14 * t),
            color=RED,
        )

        sin_func_1 = FunctionGraph(
            lambda t: np.sin(t) + 0.5 * np.sin(7 * t) + (1 / 7) * np.sin(14 * t),
            color=BLUE,
        )

        sin_func_2 = FunctionGraph(
            lambda t: np.sin(t) + 0.5 * np.sin(7 * t) + (1 / 7) * np.sin(14 * t),
            x_range=[-4, 4],
            color=GREEN,
        ).move_to([0, 1, 0])

        self.add(cos_func, sin_func_1, sin_func_2)",Intermediate,train
,"Display three rectangles arranged horizontally:

1. A wide rectangle with a grid overlay spaced at 1.0 units horizontally and 0.5 units vertically.
2. A tall, narrow rectangle without a grid.
3. A square-shaped rectangle with a 1×1 grid overlay and thinner grid lines, showing a more compact and evenly divided layout.","from manim import *

class RectangleExample(Scene):
    def construct(self):
        rect1 = Rectangle(width=4.0, height=2.0, grid_xstep=1.0, grid_ystep=0.5)
        rect2 = Rectangle(width=1.0, height=4.0)
        rect3 = Rectangle(width=2.0, height=2.0, grid_xstep=1.0, grid_ystep=1.0)
        rect3.grid_lines.set_stroke(width=1)

        rects = Group(rect1, rect2, rect3).arrange(buff=1)
        self.add(rects)",Basic,train
,"Display a 3D blue cube with semi-transparent faces (70% opacity) and a side length of 3 units, centered in the scene. The camera is angled at 75° vertically and -45° horizontally, providing a clear, tilted view that reveals multiple faces of the cube simultaneously. A 3D coordinate axis system is also present in the scene for spatial reference.","from manim import *

class CubeExample(ThreeDScene):
    def construct(self):
        self.set_camera_orientation(phi=75*DEGREES, theta=-45*DEGREES)

        axes = ThreeDAxes()
        cube = Cube(side_length=3, fill_opacity=0.7, fill_color=BLUE)
        self.add(cube)",Basic,train
,"Display a 2×2 table with row and column labels. The row labels “R1” and “R2” are each assigned a randomly chosen bright color, making them stand out from the rest of the table.","from manim import *

class GetRowLabelsExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")])
        lab = table.get_row_labels()
        for item in lab:
            item.set_color(random_bright_color())
        self.add(table)",Basic,train
,"Display a green-outlined circle on the left and a semi-transparent pink triangle on the right, each with a faint white background rectangle behind them. The background rectangles are then animated: the one behind the circle rotates 45 degrees, and the one behind the triangle rotates 90 degrees, creating a dynamic visual effect.","from manim import *

class ExampleBackgroundRectangle(Scene):
    def construct(self):
        circle = Circle().shift(LEFT)
        circle.set_stroke(color=GREEN, width=20)
        triangle = Triangle().shift(2 * RIGHT)
        triangle.set_fill(PINK, opacity=0.5)
        backgroundRectangle1 = BackgroundRectangle(circle, color=WHITE, fill_opacity=0.15)
        backgroundRectangle2 = BackgroundRectangle(triangle, color=WHITE, fill_opacity=0.15)
        self.add(backgroundRectangle1)
        self.add(backgroundRectangle2)
        self.add(circle)
        self.add(triangle)
        self.play(Rotate(backgroundRectangle1, PI / 4))
        self.play(Rotate(backgroundRectangle2, PI / 2))",Basic,train
,"Display a blue rectangle at the center of the screen with a translucent gray copy behind it for reference. A number is shown at the top edge of the screen, dynamically updating to reflect the rectangle’s height. The rectangle then smoothly grows taller until its height reaches 5 units, while the number updates in real time.","from manim import *

class HeightExample(Scene):
    def construct(self):
        decimal = DecimalNumber().to_edge(UP)
        rect = Rectangle(color=BLUE)
        rect_copy = rect.copy().set_stroke(GRAY, opacity=0.5)

        decimal.add_updater(lambda d: d.set_value(rect.height))

        self.add(rect_copy, rect, decimal)
        self.play(rect.animate.set(height=5))
        self.wait()",Basic,train
,"Display a red semi-transparent square on the left and a green semi-transparent triangle on the right. After a brief pause, the camera smoothly pans to center on the square, then transitions to center on the triangle, creating a dynamic shift in focus between the two shapes.","from manim import *

class MovingAndZoomingCamera(MovingCameraScene):
    def construct(self):
        s = Square(color=BLUE, fill_opacity=0.5).move_to(2 * LEFT)
        t = Triangle(color=YELLOW, fill_opacity=0.5).move_to(2 * RIGHT)
        self.add(s, t)
        self.play(self.camera.frame.animate.move_to(s).set(width=s.width*2))
        self.wait(0.3)
        self.play(self.camera.frame.animate.move_to(t).set(width=t.width*2))

        self.play(self.camera.frame.animate.move_to(ORIGIN).set(width=14))",Intermediate,train
,"Display the text “Fade In” in large font as it fades into view from below while scaling up slightly. Then transform it into the text “Fade Out.” Finally, animate “Fade Out” fading away while moving further downward and scaling up.","from manim import *

class Fading(Scene):
    def construct(self):
        tex_in = Tex(""Fade"", ""In"").scale(3)
        tex_out = Tex(""Fade"", ""Out"").scale(3)
        self.play(FadeIn(tex_in, shift=DOWN, scale=0.66))
        self.play(ReplacementTransform(tex_in, tex_out))
        self.play(FadeOut(tex_out, shift=DOWN * 2, scale=1.5))",Basic,train
,"Display a vector field where each arrow points away from a vertical line on the left, with direction determined by subtracting a fixed leftward vector. The arrows are color-coded based on their magnitude, transitioning through red, yellow, blue, and dark gray. Two reference circles are shown on the left: a small red circle representing the minimum magnitude and a large dark gray circle representing the maximum magnitude used for the color scheme.","from manim import *

class Coloring(Scene):
    def construct(self):
        func = lambda pos: pos - LEFT * 5
        colors = [RED, YELLOW, BLUE, DARK_GRAY]
        min_radius = Circle(radius=2, color=colors[0]).shift(LEFT * 5)
        max_radius = Circle(radius=10, color=colors[-1]).shift(LEFT * 5)
        vf = ArrowVectorField(
            func, min_color_scheme_value=2, max_color_scheme_value=10, colors=colors
        )
        self.add(vf, min_radius, max_radius)",Basic,train
,"Display a 3D octahedron—a polyhedron with eight triangular faces—centered in the scene. The camera is positioned at a 75° vertical angle and a 30° horizontal angle, giving a tilted view that clearly reveals the octahedron’s symmetrical structure.","from manim import *

class OctahedronScene(ThreeDScene):
    def construct(self):
        self.set_camera_orientation(phi=75 * DEGREES, theta=30 * DEGREES)
        obj = Octahedron()
        self.add(obj)",Basic,train
,"Display two small squares rotating simultaneously in place: one starts above the center and rotates in a full circle around the origin, while the other rotates in place at the center of the screen. Both rotations are smooth and complete one full turn.","from manim import *

class UsingRotate(Scene):
    def construct(self):
        self.play(
            Rotate(
                Square(side_length=0.5).shift(UP * 2),
                angle=2*PI,
                about_point=ORIGIN,
                rate_func=linear,
            ),
            Rotate(Square(side_length=0.5), angle=2*PI, rate_func=linear),
            )",Intermediate,train
Display a set of axes and plot the sine curve in blue. Show an orange dot at the start of the curve and two additional dots at the start and end of the curve. Zoom in the camera to follow the orange dot as it moves along the sine curve. Restore the camera to its original state. ,Display a set of axes and plot the sine curve in blue. Show an orange dot at the start of the curve and two additional dots at the start and end of the curve. Zoom in the camera to follow the orange dot as it moves along the sine curve. At the end of the video restore the camera to its original state. ,"from manim import *

class FollowingGraphCamera(MovingCameraScene):
    def construct(self):
        self.camera.frame.save_state()

        # create the axes and the curve
        ax = Axes(x_range=[-1, 10], y_range=[-1, 10])
        graph = ax.plot(lambda x: np.sin(x), color=BLUE, x_range=[0, 3 * PI])

        # create dots based on the graph
        moving_dot = Dot(ax.i2gp(graph.t_min, graph), color=ORANGE)
        dot_1 = Dot(ax.i2gp(graph.t_min, graph))
        dot_2 = Dot(ax.i2gp(graph.t_max, graph))

        self.add(ax, graph, dot_1, dot_2, moving_dot)
        self.play(self.camera.frame.animate.scale(0.5).move_to(moving_dot))

        def update_curve(mob):
            mob.move_to(moving_dot.get_center())

        self.camera.frame.add_updater(update_curve)
        self.play(MoveAlongPath(moving_dot, graph, rate_func=linear))
        self.camera.frame.remove_updater(update_curve)

        self.play(Restore(self.camera.frame))",Intermediate,train
,"Display a blue square with partial fill. The square rotates 180 degrees over 2 seconds with a linear motion, then it is highlighted using the `Indicate` animation without changing its color. The default settings for `Rotate` and `Indicate` are temporarily modified for this scene and then reset afterward.","from manim import *

class ChangeDefaultAnimation(Scene):
    def construct(self):
        Rotate.set_default(run_time=2, rate_func=rate_functions.linear)
        Indicate.set_default(color=None)

        S = Square(color=BLUE, fill_color=BLUE, fill_opacity=0.25)
        self.add(S)
        self.play(Rotate(S, PI))
        self.play(Indicate(S))

        Rotate.set_default()
        Indicate.set_default()",Basic,train
,"Display a dot positioned to the right of the origin and a number label that dynamically follows the dot’s position. As the dot rotates in a full circle around the origin, the label continuously updates its value to reflect the dot’s current x-coordinate and stays positioned next to the dot throughout the motion.","from manim import *

class NextToUpdater(Scene):
    def construct(self):
        def dot_position(mobject):
            mobject.set_value(dot.get_center()[0])
            mobject.next_to(dot)

        dot = Dot(RIGHT*3)
        label = DecimalNumber()
        label.add_updater(dot_position)
        self.add(dot, label)

        self.play(Rotating(dot, about_point=ORIGIN, angle=TAU, run_time=TAU, rate_func=linear))",Intermediate,train
,"Display a polar coordinate grid with a size of 6 units. The azimuth (angle) labels are shown in terms of π radians, and both the angle and radius labels are styled with a larger font size for clarity. Coordinate labels are added to enhance readability of the polar layout.","from manim import *

class PolarPlaneExample(Scene):
    def construct(self):
        polarplane_pi = PolarPlane(
            azimuth_units=""PI radians"",
            size=6,
            azimuth_label_font_size=33.6,
            radius_config={""font_size"": 33.6},
        ).add_coordinates()
        self.add(polarplane_pi)",Basic,train
,"Display a red square and a yellow circle labeled with keys ""s"" and ""c"" respectively, grouped together using a visual dictionary. After a pause, green text labeled ""t"" appears below the square. A rectangle is then added below the text and labeled ""r"". The text changes color to purple, scales up, and is then replaced with new blue text. This new text is removed, followed by the red square being uncreated, the yellow circle fading out, and the rectangle fading out while shifting downward. Finally, two new VDicts appear: one on the left showing integers 1, 2, and 3 stacked vertically, and another on the right showing a square, circle, and rectangle arranged together.","from manim import *

class ShapesWithVDict(Scene):
    def construct(self):
        square = Square().set_color(RED)
        circle = Circle().set_color(YELLOW).next_to(square, UP)

        # create dict from list of tuples each having key-mobject pair
        pairs = [(""s"", square), (""c"", circle)]
        my_dict = VDict(pairs, show_keys=True)

        # display it just like a VGroup
        self.play(Create(my_dict))
        self.wait()

        text = Tex(""Some text"").set_color(GREEN).next_to(square, DOWN)

        # add a key-value pair by wrapping it in a single-element list of tuple
        # after attrs branch is merged, it will be easier like `.add(t=text)`
        my_dict.add([(""t"", text)])
        self.wait()

        rect = Rectangle().next_to(text, DOWN)
        # can also do key assignment like a python dict
        my_dict[""r""] = rect

        # access submobjects like a python dict
        my_dict[""t""].set_color(PURPLE)
        self.play(my_dict[""t""].animate.scale(3))
        self.wait()

        # also supports python dict styled reassignment
        my_dict[""t""] = Tex(""Some other text"").set_color(BLUE)
        self.wait()

        # remove submobject by key
        my_dict.remove(""t"")
        self.wait()

        self.play(Uncreate(my_dict[""s""]))
        self.wait()

        self.play(FadeOut(my_dict[""c""]))
        self.wait()

        self.play(FadeOut(my_dict[""r""], shift=DOWN))
        self.wait()

        # you can also make a VDict from an existing dict of mobjects
        plain_dict = {
            1: Integer(1).shift(DOWN),
            2: Integer(2).shift(2 * DOWN),
            3: Integer(3).shift(3 * DOWN),
        }

        vdict_from_plain_dict = VDict(plain_dict)
        vdict_from_plain_dict.shift(1.5 * (UP + LEFT))
        self.play(Create(vdict_from_plain_dict))

        # you can even use zip
        vdict_using_zip = VDict(zip([""s"", ""c"", ""r""], [Square(), Circle(), Rectangle()]))
        vdict_using_zip.shift(1.5 * RIGHT)
        self.play(Create(vdict_using_zip))
        self.wait()",Intermediate,train
,"Display a circle positioned in the upper-right corner of the screen. A LaTeX-style text reading “To the corner!” is placed in the lower-left corner with no buffer space, and a mathematical expression “\(x^3\)” is positioned in the upper-left corner with extra spacing from the edges. All three elements appear simultaneously.","from manim import *

class ToCornerExample(Scene):
    def construct(self):
        c = Circle()
        c.to_corner(UR)
        t = Tex(""To the corner!"")
        t2 = MathTex(""x^3"").shift(DOWN)
        self.add(c,t,t2)
        t.to_corner(DL, buff=0)
        t2.to_corner(UL, buff=1.5)",Basic,train
,"Display a thick yellow horizontal line across the screen with rounded ends, demonstrating the use of a round cap style for line terminations.","from manim import *

class CapStyleExample(Scene):
    def construct(self):
        line = Line(LEFT, RIGHT, color=YELLOW, stroke_width=20)
        line.set_cap_style(CapStyleType.ROUND)
        self.add(line)",Basic,train
,"Display the word “Hello” in large text on the screen, animating it as if it is being written out by hand.","from manim import *

class ShowWrite(Scene):
    def construct(self):
        self.play(Write(Text(""Hello"", font_size=144)))",Basic,train
,"Display three vertically aligned dots on the left side of the screen, along with a red dashed vertical line labeled ""25%"" and a title at the top reading ""lag_ratio = 0.25"". The dots then move horizontally to the right, one after another, with a slight delay between each movement based on a lag ratio of 0.25. The entire animation lasts 4 seconds.","from manim import *

class LaggedStartExample(Scene):
    def construct(self):
        title = Text(""lag_ratio = 0.25"").to_edge(UP)

        dot1 = Dot(point=LEFT * 2 + UP, radius=0.16)
        dot2 = Dot(point=LEFT * 2, radius=0.16)
        dot3 = Dot(point=LEFT * 2 + DOWN, radius=0.16)
        line_25 = DashedLine(
            start=LEFT + UP * 2,
            end=LEFT + DOWN * 2,
            color=RED
        )
        label = Text(""25%"", font_size=24).next_to(line_25, UP)
        self.add(title, dot1, dot2, dot3, line_25, label)

        self.play(LaggedStart(
            dot1.animate.shift(RIGHT * 4),
            dot2.animate.shift(RIGHT * 4),
            dot3.animate.shift(RIGHT * 4),
            lag_ratio=0.25,
            run_time=4
        ))",Intermediate,train
,"Display a coordinate grid with a purple curve representing the function \( y = x^2 \), and a second curve showing its derivative, \( y = 2x \), automatically computed and plotted. The original function is labeled “\( x^2 \)” near \( x = -2 \), and the derivative is labeled “\( 2x \)” near \( x = 3 \). This scene visually illustrates the relationship between a function and its derivative.","from manim import *

class DerivativeGraphExample(Scene):
    def construct(self):
        ax = NumberPlane(y_range=[-1, 7], background_line_style={""stroke_opacity"": 0.4})

        curve_1 = ax.plot(lambda x: x ** 2, color=PURPLE_B)
        curve_2 = ax.plot_derivative_graph(curve_1)
        curves = VGroup(curve_1, curve_2)

        label_1 = ax.get_graph_label(curve_1, ""x^2"", x_val=-2, direction=DL)
        label_2 = ax.get_graph_label(curve_2, ""2x"", x_val=3, direction=RIGHT)
        labels = VGroup(label_1, label_2)

        self.add(ax, curves, labels)",Intermediate,train
,"Display a series of text labels, each showing the name of a different indication animation in large font. For each label:

1. Apply the corresponding indication effect:
   - “ApplyWave” animates a wave passing through the text.
   - “Circumscribe” draws a border around the text.
   - “Flash” creates a flashing effect at the top of the screen.
   - “FocusOn” highlights the text with a spotlight effect.
   - “Indicate” briefly highlights the text with a pulsing effect.
   - “ShowPassingFlash” animates an underline flashing across the text.
   - “Wiggle” makes the text wiggle.

2. After each effect, fade out the current label upward and fade in the next one from below, cycling through all the animations.","from manim import *

class Indications(Scene):
    def construct(self):
        indications = [ApplyWave,Circumscribe,Flash,FocusOn,Indicate,ShowPassingFlash,Wiggle]
        names = [Tex(i.__name__).scale(3) for i in indications]

        self.add(names[0])
        for i in range(len(names)):
            if indications[i] is Flash:
                self.play(Flash(UP))
            elif indications[i] is ShowPassingFlash:
                self.play(ShowPassingFlash(Underline(names[i])))
            else:
                self.play(indications[i](names[i]))
            self.play(AnimationGroup(
                FadeOut(names[i], shift=UP*1.5),
                FadeIn(names[(i+1)%len(names)], shift=UP*1.5),
            ))",Intermediate,train
,"Display two lines originating from the same point: one extending horizontally to the right, and the other rotated upward at an 80-degree angle. An angle arc is drawn between them with a radius of 1.5 units, and a red dot marks the midpoint of this angle arc. The scene pauses briefly to display the full construction.","from manim import *

class AngleMidPoint(Scene):
    def construct(self):
        line1 = Line(ORIGIN, 2*RIGHT)
        line2 = Line(ORIGIN, 2*RIGHT).rotate_about_origin(80*DEGREES)

        a = Angle(line1, line2, radius=1.5, other_angle=False)
        d = Dot(a.get_midpoint()).set_color(RED)

        self.add(line1, line2, a, d)
        self.wait()",Basic,train
,"Set the background color to white. Display a red square on the left and a blue square on the right. Internally rotate the points of the blue square to alter its orientation. Then, animate the red square transforming into a red circle on the left, and simultaneously transform the rotated blue square into a blue circle on the right.","from manim import *

class ExampleRotation(Scene):
    def construct(self):
        self.camera.background_color = WHITE
        m1a = Square().set_color(RED).shift(LEFT)
        m1b = Circle().set_color(RED).shift(LEFT)
        m2a = Square().set_color(BLUE).shift(RIGHT)
        m2b = Circle().set_color(BLUE).shift(RIGHT)

        points = m2a.points
        points = np.roll(points, int(len(points)/4), axis=0)
        m2a.points = points

        self.play(Transform(m1a,m1b),Transform(m2a,m2b), run_time=1)",Basic,train
,"Display a coordinate grid with default x- and y-axes, but with both axes using the ""StealthTip"" style for their arrow tips. The axes appear clean and minimal, with no numerical labels or tick marks by default.","from manim import *

class AxesWithDifferentTips(Scene):
    def construct(self):
        ax = Axes(axis_config={'tip_shape': StealthTip})
        self.add(ax)",Basic,train
,"Display four sets of two intersecting lines forming right angles, each with a different style of right angle marker:

1. The first uses the default size and position.
2. The second has a smaller marker placed in a different quadrant.
3. The third has a slightly larger marker with a thicker stroke in another quadrant.
4. The fourth features the largest marker, colored red, positioned in a different quadrant.

All four sets are arranged horizontally with space between them.","from manim import *

class RightAngleExample(Scene):
    def construct(self):
        line1 = Line( LEFT, RIGHT )
        line2 = Line( DOWN, UP )
        rightangles = [
            RightAngle(line1, line2),
            RightAngle(line1, line2, length=0.4, quadrant=(1,-1)),
            RightAngle(line1, line2, length=0.5, quadrant=(-1,1), stroke_width=8),
            RightAngle(line1, line2, length=0.7, quadrant=(-1,-1), color=RED),
        ]
        plots = VGroup()
        for rightangle in rightangles:
            plot=VGroup(line1.copy(),line2.copy(), rightangle)
            plots.add(plot)
        plots.arrange(buff=1.5)
        self.add(plots)",Basic,train
"Display a blue dot and a green dot arranged horizontally with a red line connecting them. Move the blue dot to the right and the green dot upwards, updating the connecting line dynamically.","Display a blue dot and a green dot arranged horizontally with a white line connecting them. Move the blue dot to the right and the green dot upwards, updating the connecting line dynamically.","from manim import *

class MovingDots(Scene):
    def construct(self):
        d1,d2=Dot(color=BLUE),Dot(color=GREEN)
        dg=VGroup(d1,d2).arrange(RIGHT,buff=1)
        l1=Line(d1.get_center(),d2.get_center()).set_color(RED)
        x=ValueTracker(0)
        y=ValueTracker(0)
        d1.add_updater(lambda z: z.set_x(x.get_value()))
        d2.add_updater(lambda z: z.set_y(y.get_value()))
        l1.add_updater(lambda z: z.become(Line(d1.get_center(),d2.get_center())))
        self.add(d1,d2,l1)
        self.play(x.animate.set_value(5))
        self.play(y.animate.set_value(4))
        self.wait()",Intermediate,train
,"Display the text ""Hello ★ LaTeX"" in large font, where the star is a LaTeX-rendered symbol and the LaTeX logo is typeset properly. The substring ""igsta"" within the star symbol is colored red, though it may not visibly affect the output since ""igsta"" does not appear in the visible text.","from manim import *

class LaTeXSubstrings(Scene):
    def construct(self):
        tex = Tex('Hello', r'$\bigstar$', r'\LaTeX', font_size=144)
        tex.set_color_by_tex('igsta', RED)
        self.add(tex)",Basic,train
,"Display 3D axes. Set the camera orientation to a specific angle. Show the text ""This is a 3D text"" fixed in the upper left corner of the frame.","from manim import *

class FixedInFrameMObjectTest(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        self.set_camera_orientation(phi=75 * DEGREES, theta=-45 * DEGREES)
        text3d = Text(""This is a 3D text"")
        self.add_fixed_in_frame_mobjects(text3d)
        text3d.to_corner(UL)
        self.add(axes)
        self.wait()",Intermediate,train
,"Display a 2×2 matrix  
\[
\begin{bmatrix}
\pi & 3 \\
1 & 5
\end{bmatrix}
\]  
with a surrounding rectangle highlighting the second column (containing the numbers 3 and 5). The matrix and highlight appear on screen without animation.","from manim import *

class GetColumnsExample(Scene):
    def construct(self):
        m0 = Matrix([[r""\pi"", 3], [1, 5]])
        m0.add(SurroundingRectangle(m0.get_columns()[1]))
        self.add(m0)",Basic,train
,"Display a number plane with labeled axes ranging from 0 to 7 on the x-axis and 0 to 5 on the y-axis. A gold-colored line graph is plotted through a series of six data points, each marked with a purple dot outlined in black. The graph shows a fluctuating trend, rising and falling across the plotted x-values, and is centered on the screen for clear visibility.","from manim import *

class LineGraphExample(Scene):
    def construct(self):
        plane = NumberPlane(
            x_range = (0, 7),
            y_range = (0, 5),
            x_length = 7,
            axis_config={""include_numbers"": True},
        )
        plane.center()
        line_graph = plane.plot_line_graph(
            x_values = [0, 1.5, 2, 2.8, 4, 6.25],
            y_values = [1, 3, 2.25, 4, 2.5, 1.75],
            line_color=GOLD_E,
            vertex_dot_style=dict(stroke_width=3,  fill_color=PURPLE),
            stroke_width = 4,
        )
        self.add(plane, line_graph)",Basic,train
,"Display a red parametric curve traced by the point \((\sin(2t), \sin(3t))\) as \(t\) ranges from 0 to \(2\pi\), scaled up by a factor of 3. The curve appears on screen without animation.","from manim import *

class PlotParametricFunction(Scene):
    def func(self, t):
        return (np.sin(2 * t), np.sin(3 * t), 0)

    def construct(self):
        func = ParametricFunction(self.func, t_range = (0, TAU), fill_opacity=0).set_color(RED)
        self.add(func.scale(3))",Intermediate,train
,"Display six colored circles arranged vertically on the left side of the screen, each labeled with a different angle: -90°, 0°, 30°, 90°, 180°, and 270°. Each circle animates by transforming into a matching circle on the right side of the screen, following a curved path determined by the specified angle:

- Negative angles move clockwise,
- Positive angles move counterclockwise,
- 0° moves in a straight line.

Each transformation is accompanied by a yellow arc showing the path taken, visually demonstrating how different `path_arc` values affect the motion.","from manim import *

class TransformPathArc(Scene):
    def construct(self):
        def make_arc_path(start, end, arc_angle):
            points = []
            p_fn = path_along_arc(arc_angle)
            # alpha animates between 0.0 and 1.0, where 0.0
            # is the beginning of the animation and 1.0 is the end.
            for alpha in range(0, 11):
                points.append(p_fn(start, end, alpha / 10.0))
            path = VMobject(stroke_color=YELLOW)
            path.set_points_smoothly(points)
            return path

        left = Circle(stroke_color=BLUE_E, fill_opacity=1.0, radius=0.5).move_to(LEFT * 2)
        colors = [TEAL_A, TEAL_B, TEAL_C, TEAL_D, TEAL_E, GREEN_A]
        # Positive angles move counter-clockwise, negative angles move clockwise.
        examples = [-90, 0, 30, 90, 180, 270]
        anims = []
        for idx, angle in enumerate(examples):
            left_c = left.copy().shift((3 - idx) * UP)
            left_c.fill_color = colors[idx]
            right_c = left_c.copy().shift(4 * RIGHT)
            path_arc = make_arc_path(left_c.get_center(), right_c.get_center(),
                                     arc_angle=angle * DEGREES)
            desc = Text('%d°' % examples[idx]).next_to(left_c, LEFT)
            # Make the circles in front of the text in front of the arcs.
            self.add(
                path_arc.set_z_index(1),
                desc.set_z_index(2),
                left_c.set_z_index(3),
            )
            anims.append(Transform(left_c, right_c, path_arc=angle * DEGREES))

        self.play(*anims, run_time=2)
        self.wait()",Advanced,train
,"Display a stationary line from left to right. Show a second line rotating around a point on the left, forming an angle with the stationary line. Label the angle with the Greek letter theta (θ). Animate the rotating line to change its angle, updating the angle and its label dynamically. Change the color of the theta label to red briefly.","from manim import *

class MovingAngle(Scene):
    def construct(self):
        rotation_center = LEFT

        theta_tracker = ValueTracker(110)
        line1 = Line(LEFT, RIGHT)
        line_moving = Line(LEFT, RIGHT)
        line_ref = line_moving.copy()
        line_moving.rotate(
            theta_tracker.get_value() * DEGREES, about_point=rotation_center
        )
        a = Angle(line1, line_moving, radius=0.5, other_angle=False)
        tex = MathTex(r""\theta"").move_to(
            Angle(
                line1, line_moving, radius=0.5 + 3 * SMALL_BUFF, other_angle=False
            ).point_from_proportion(0.5)
        )

        self.add(line1, line_moving, a, tex)
        self.wait()

        line_moving.add_updater(
            lambda x: x.become(line_ref.copy()).rotate(
                theta_tracker.get_value() * DEGREES, about_point=rotation_center
            )
        )

        a.add_updater(
            lambda x: x.become(Angle(line1, line_moving, radius=0.5, other_angle=False))
        )
        tex.add_updater(
            lambda x: x.move_to(
                Angle(
                    line1, line_moving, radius=0.5 + 3 * SMALL_BUFF, other_angle=False
                ).point_from_proportion(0.5)
            )
        )

        self.play(theta_tracker.animate.set_value(40))
        self.play(theta_tracker.animate.increment_value(140))
        self.play(tex.animate.set_color(RED), run_time=0.5)
        self.play(theta_tracker.animate.set_value(350))",Intermediate,train
,"Display a large circle and a copy of it at the center of the screen. The copy is transformed using a complex exponential function, creating a warped version of the original. Then, over three seconds, the transformed circle continuously morphs as if it's being rotated and distorted by a dynamic complex function, gradually completing a full rotation while changing color to blue.","from manim import *

class ApplyFuncExample(Scene):
    def construct(self):
        circ = Circle().scale(1.5)
        circ_ref = circ.copy()
        circ.apply_complex_function(
            lambda x: np.exp(x*1j)
        )
        t = ValueTracker(0)
        circ.add_updater(
            lambda x: x.become(circ_ref.copy().apply_complex_function(
                lambda x: np.exp(x+t.get_value()*1j)
            )).set_color(BLUE)
        )
        self.add(circ_ref)
        self.play(TransformFromCopy(circ_ref, circ))
        self.play(t.animate.set_value(TAU), run_time=3)",Intermediate,train
,"Display the word ""Hello"" in large font with a smooth gradient transitioning from red to blue to green across the text.","from manim import *

class GradientExample(Scene):
    def construct(self):
        t = Text(""Hello"", gradient=(RED, BLUE, GREEN), font_size=96)
        self.add(t)",Basic,train
,"Display 24 small white rectangles, each labeled with a number from 1 to 24, arranged in a grid. The grid flows down each column before moving to the next (top to bottom, then left to right). The columns and rows have custom spacing and alignment: columns are aligned left, center, or right as specified, and rows are aligned upper, center, or down. The first and last columns and rows have fixed widths and heights, while the others adjust automatically.","from manim import *

class ArrangeInGrid(Scene):
    def construct(self):
        boxes = VGroup(*[
            Rectangle(WHITE, 0.5, 0.5).add(Text(str(i+1)).scale(0.5))
            for i in range(24)
        ])
        self.add(boxes)

        boxes.arrange_in_grid(
            buff=(0.25,0.5),
            col_alignments=""lccccr"",
            row_alignments=""uccd"",
            col_widths=[1, *[None]*4, 1],
            row_heights=[1, None, None, 1],
            flow_order=""dr""
        )",Intermediate,train
,"Display a red circle with a red dot on its edge, positioned to the left. As the circle rolls to the right across the screen over 4 seconds, it rotates and leaves behind a traced path showing the trajectory of the point on its edge. The path is continuously drawn as the circle moves.","from manim import *

class TracedPathExample(Scene):
    def construct(self):
        circ = Circle(color=RED).shift(4*LEFT)
        dot = Dot(color=RED).move_to(circ.get_start())
        rolling_circle = VGroup(circ, dot)
        trace = TracedPath(circ.get_start)
        rolling_circle.add_updater(lambda m: m.rotate(-0.3))
        self.add(trace, rolling_circle)
        self.play(rolling_circle.animate.shift(8*RIGHT), run_time=4, rate_func=linear)",Basic,train
